"Var1"	"Var2"	"weight"
"1"	"ph_1061"	"AACY020068177"	0.85553418624813
"2"	"ph_1258"	"AACY020207233"	0.805575048128395
"3"	"ph_3164"	"AACY020207233"	0.81225172244631
"4"	"ph_1033"	"AACY020255495"	0.84874981445782
"5"	"ph_10996"	"AACY020255495"	0.873461673087275
"6"	"ph_11038"	"AACY020255495"	0.874078156262529
"7"	"ph_11040"	"AACY020255495"	0.811031194581001
"8"	"ph_11048"	"AACY020255495"	0.874120507243604
"9"	"ph_11096"	"AACY020255495"	0.873305397265996
"10"	"ph_1113"	"AACY020255495"	0.8253919843436
"11"	"ph_1208"	"AACY020255495"	0.827520476434748
"12"	"ph_13207"	"AACY020255495"	0.868515009541637
"13"	"ph_1346"	"AACY020255495"	0.866928260087016
"14"	"ph_14679"	"AACY020255495"	0.821371988348632
"15"	"ph_1572"	"AACY020255495"	0.819159619364335
"16"	"ph_16045"	"AACY020255495"	0.873548545672277
"17"	"ph_1909"	"AACY020255495"	0.874953384727289
"18"	"ph_1918"	"AACY020255495"	0.806599006143484
"19"	"ph_19894"	"AACY020255495"	0.874034614484808
"20"	"ph_2117"	"AACY020255495"	0.867888850960465
"21"	"ph_2231"	"AACY020255495"	0.85412419583607
"22"	"ph_2363"	"AACY020255495"	0.876429447512775
"23"	"ph_276"	"AACY020255495"	0.907186833391138
"24"	"ph_2775"	"AACY020255495"	0.819034937195923
"25"	"ph_2798"	"AACY020255495"	0.844333577167759
"26"	"ph_3217"	"AACY020255495"	0.876895544614449
"27"	"ph_3336"	"AACY020255495"	0.899382113219733
"28"	"ph_3493"	"AACY020255495"	0.889635473833785
"29"	"ph_3541"	"AACY020255495"	0.835182152990403
"30"	"ph_3892"	"AACY020255495"	0.908301022930668
"31"	"ph_4194"	"AACY020255495"	0.874702742381538
"32"	"ph_4602"	"AACY020255495"	0.897931079539096
"33"	"ph_4678"	"AACY020255495"	0.873829529890359
"34"	"ph_484"	"AACY020255495"	0.87992388850941
"35"	"ph_4993"	"AACY020255495"	0.870860217950178
"36"	"ph_4999"	"AACY020255495"	0.858606530043193
"37"	"ph_5001"	"AACY020255495"	0.867714859942309
"38"	"ph_5010"	"AACY020255495"	0.823326728070635
"39"	"ph_5286"	"AACY020255495"	0.873387490261711
"40"	"ph_5287"	"AACY020255495"	0.847904056796561
"41"	"ph_5302"	"AACY020255495"	0.870464503952007
"42"	"ph_5321"	"AACY020255495"	0.873564644698113
"43"	"ph_5643"	"AACY020255495"	0.875365323283628
"44"	"ph_6441"	"AACY020255495"	0.848416419682482
"45"	"ph_654"	"AACY020255495"	0.835263573996093
"46"	"ph_6954"	"AACY020255495"	0.893699101205152
"47"	"ph_7389"	"AACY020255495"	0.860014122049322
"48"	"ph_7920"	"AACY020255495"	0.876710805993637
"49"	"ph_8039"	"AACY020255495"	0.870636585927923
"50"	"ph_8695"	"AACY020255495"	0.868112463134419
"51"	"ph_987"	"AACY020255495"	0.810425753241271
"52"	"ph_10377"	"AACY020288370"	0.934849946826533
"53"	"ph_10798"	"AACY020288370"	0.816083856494804
"54"	"ph_10931"	"AACY020288370"	0.836376608435001
"55"	"ph_11135"	"AACY020288370"	0.850219735625106
"56"	"ph_11307"	"AACY020288370"	0.853095559722036
"57"	"ph_1149"	"AACY020288370"	0.850067018284713
"58"	"ph_1150"	"AACY020288370"	0.907547207524063
"59"	"ph_12630"	"AACY020288370"	0.89978762489303
"60"	"ph_13413"	"AACY020288370"	0.801735812377419
"61"	"ph_1347"	"AACY020288370"	0.85318050105689
"62"	"ph_1388"	"AACY020288370"	0.845003161606714
"63"	"ph_1522"	"AACY020288370"	0.855396158642536
"64"	"ph_15307"	"AACY020288370"	0.936814993988676
"65"	"ph_16266"	"AACY020288370"	0.825153280874365
"66"	"ph_1641"	"AACY020288370"	0.84050430966297
"67"	"ph_1837"	"AACY020288370"	0.815175191143274
"68"	"ph_2064"	"AACY020288370"	0.825038713338993
"69"	"ph_2323"	"AACY020288370"	0.94731168710363
"70"	"ph_2624"	"AACY020288370"	0.80978568553268
"71"	"ph_3762"	"AACY020288370"	0.897844842536563
"72"	"ph_5861"	"AACY020288370"	0.894452297080422
"73"	"ph_5983"	"AACY020288370"	0.821694843308483
"74"	"ph_627"	"AACY020288370"	0.841405999812153
"75"	"ph_7172"	"AACY020288370"	0.897284742526127
"76"	"ph_747"	"AACY020288370"	0.839830973570319
"77"	"ph_893"	"AACY020288370"	0.926442522607477
"78"	"ph_946"	"AACY020288370"	0.84401478238145
"79"	"ph_947"	"AACY020288370"	0.845563231235036
"80"	"ph_1018"	"AACY020396101"	0.803879140000452
"81"	"ph_1120"	"AACY020396101"	0.802158334614032
"82"	"ph_12634"	"AACY020396101"	0.80297269640177
"83"	"ph_13890"	"AACY020396101"	0.810845088291367
"84"	"ph_1487"	"AACY020396101"	0.844786957715927
"85"	"ph_25338"	"AACY020396101"	0.815622817892237
"86"	"ph_25342"	"AACY020396101"	0.825874898629154
"87"	"ph_2560"	"AACY020396101"	0.823123639762937
"88"	"ph_2698"	"AACY020396101"	0.805745043801313
"89"	"ph_27069"	"AACY020396101"	0.833619434478372
"90"	"ph_2840"	"AACY020396101"	0.810962577349846
"91"	"ph_3301"	"AACY020396101"	0.853295272075733
"92"	"ph_3840"	"AACY020396101"	0.812840238909052
"93"	"ph_4054"	"AACY020396101"	0.832556322878637
"94"	"ph_4558"	"AACY020396101"	0.825602433702189
"95"	"ph_4841"	"AACY020396101"	0.811559121329212
"96"	"ph_5893"	"AACY020396101"	0.813570325310555
"97"	"ph_6280"	"AACY020396101"	0.816967778720467
"98"	"ph_8345"	"AACY020396101"	0.812198873867566
"99"	"ph_864"	"AACY020396101"	0.845396617078263
"100"	"ph_8962"	"AACY020396101"	0.803670302948824
"101"	"ph_8990"	"AACY020396101"	0.807797673223046
"102"	"ph_945"	"AACY020396101"	0.800306135632448
"103"	"ph_1033"	"AACY020398456"	0.865571041042683
"104"	"ph_1060"	"AACY020398456"	0.830513661004918
"105"	"ph_10996"	"AACY020398456"	0.882379429476185
"106"	"ph_11038"	"AACY020398456"	0.878756257288708
"107"	"ph_11040"	"AACY020398456"	0.902920099813956
"108"	"ph_11048"	"AACY020398456"	0.879438957720393
"109"	"ph_11096"	"AACY020398456"	0.881346188471532
"110"	"ph_1113"	"AACY020398456"	0.821515028647404
"111"	"ph_1208"	"AACY020398456"	0.897716048399411
"112"	"ph_1313"	"AACY020398456"	0.83377198870762
"113"	"ph_13136"	"AACY020398456"	0.851848088236443
"114"	"ph_13207"	"AACY020398456"	0.902060187785081
"115"	"ph_1346"	"AACY020398456"	0.862340927064353
"116"	"ph_14679"	"AACY020398456"	0.898873072232304
"117"	"ph_1469"	"AACY020398456"	0.847818087810863
"118"	"ph_1572"	"AACY020398456"	0.817097309102763
"119"	"ph_16045"	"AACY020398456"	0.878020640406853
"120"	"ph_1909"	"AACY020398456"	0.880547514952203
"121"	"ph_1918"	"AACY020398456"	0.865562201961429
"122"	"ph_19894"	"AACY020398456"	0.882063146135341
"123"	"ph_2087"	"AACY020398456"	0.890114132227665
"124"	"ph_2117"	"AACY020398456"	0.868117325218151
"125"	"ph_2231"	"AACY020398456"	0.844439151760776
"126"	"ph_2346"	"AACY020398456"	0.822464400634781
"127"	"ph_2363"	"AACY020398456"	0.905902767642535
"128"	"ph_276"	"AACY020398456"	0.894035170426969
"129"	"ph_2773"	"AACY020398456"	0.812020363793592
"130"	"ph_2775"	"AACY020398456"	0.883976738076485
"131"	"ph_2798"	"AACY020398456"	0.844710109053909
"132"	"ph_3217"	"AACY020398456"	0.881573317246575
"133"	"ph_3336"	"AACY020398456"	0.915100468572291
"134"	"ph_3493"	"AACY020398456"	0.886924853367675
"135"	"ph_3541"	"AACY020398456"	0.846632698608174
"136"	"ph_3892"	"AACY020398456"	0.886722450796528
"137"	"ph_4194"	"AACY020398456"	0.902001068066305
"138"	"ph_4602"	"AACY020398456"	0.894899360674797
"139"	"ph_4646"	"AACY020398456"	0.82232785355783
"140"	"ph_4678"	"AACY020398456"	0.877768027403121
"141"	"ph_4687"	"AACY020398456"	0.81952713959132
"142"	"ph_484"	"AACY020398456"	0.883294685746703
"143"	"ph_4993"	"AACY020398456"	0.871599522318858
"144"	"ph_4999"	"AACY020398456"	0.851295968615491
"145"	"ph_5001"	"AACY020398456"	0.90220432892235
"146"	"ph_5010"	"AACY020398456"	0.854496077916908
"147"	"ph_5286"	"AACY020398456"	0.9066925941617
"148"	"ph_5287"	"AACY020398456"	0.870495491655608
"149"	"ph_5302"	"AACY020398456"	0.89723224950511
"150"	"ph_5321"	"AACY020398456"	0.881718966513331
"151"	"ph_5617"	"AACY020398456"	0.865311184127171
"152"	"ph_5643"	"AACY020398456"	0.879973661726916
"153"	"ph_5668"	"AACY020398456"	0.838851420411547
"154"	"ph_6025"	"AACY020398456"	0.850661813376886
"155"	"ph_6441"	"AACY020398456"	0.837257138390976
"156"	"ph_646"	"AACY020398456"	0.818182523647002
"157"	"ph_654"	"AACY020398456"	0.863094355893541
"158"	"ph_6954"	"AACY020398456"	0.895695661277303
"159"	"ph_7389"	"AACY020398456"	0.867961202724499
"160"	"ph_7920"	"AACY020398456"	0.885647766086368
"161"	"ph_8039"	"AACY020398456"	0.866558484558715
"162"	"ph_8695"	"AACY020398456"	0.866052143332505
"163"	"ph_987"	"AACY020398456"	0.839031676954556
"164"	"ph_1033"	"AACY020481938"	0.881331135664175
"165"	"ph_1060"	"AACY020481938"	0.862048357616063
"166"	"ph_10996"	"AACY020481938"	0.826895880823674
"167"	"ph_11038"	"AACY020481938"	0.814125282820219
"168"	"ph_11040"	"AACY020481938"	0.881627815170131
"169"	"ph_11048"	"AACY020481938"	0.813137761941893
"170"	"ph_11096"	"AACY020481938"	0.819771871252552
"171"	"ph_1208"	"AACY020481938"	0.879751802249863
"172"	"ph_1313"	"AACY020481938"	0.903030534296769
"173"	"ph_13136"	"AACY020481938"	0.894961603996688
"174"	"ph_13207"	"AACY020481938"	0.853395713149046
"175"	"ph_1346"	"AACY020481938"	0.808746161532506
"176"	"ph_1376"	"AACY020481938"	0.80685333929584
"177"	"ph_1402"	"AACY020481938"	0.827653364993198
"178"	"ph_1422"	"AACY020481938"	0.800154373645282
"179"	"ph_14679"	"AACY020481938"	0.889599804073369
"180"	"ph_1469"	"AACY020481938"	0.894460293261929
"181"	"ph_16045"	"AACY020481938"	0.814596560586444
"182"	"ph_1909"	"AACY020481938"	0.840104819513975
"183"	"ph_1918"	"AACY020481938"	0.877169840248409
"184"	"ph_19894"	"AACY020481938"	0.812334454289321
"185"	"ph_2087"	"AACY020481938"	0.876491655568315
"186"	"ph_2117"	"AACY020481938"	0.805073795059553
"187"	"ph_2231"	"AACY020481938"	0.812629061473745
"188"	"ph_2346"	"AACY020481938"	0.915479154419919
"189"	"ph_2363"	"AACY020481938"	0.801881004866151
"190"	"ph_2773"	"AACY020481938"	0.878098072911294
"191"	"ph_2775"	"AACY020481938"	0.934895692057874
"192"	"ph_2798"	"AACY020481938"	0.822059689095128
"193"	"ph_3201"	"AACY020481938"	0.846712791139023
"194"	"ph_3217"	"AACY020481938"	0.824673137522023
"195"	"ph_3233"	"AACY020481938"	0.811239900958445
"196"	"ph_3336"	"AACY020481938"	0.850940563156469
"197"	"ph_3368"	"AACY020481938"	0.869911762655705
"198"	"ph_3493"	"AACY020481938"	0.810917309967214
"199"	"ph_3530"	"AACY020481938"	0.891548425462728
"200"	"ph_3541"	"AACY020481938"	0.854261043848829
"201"	"ph_3892"	"AACY020481938"	0.835697476944716
"202"	"ph_4194"	"AACY020481938"	0.807871744843962
"203"	"ph_4602"	"AACY020481938"	0.831647068350871
"204"	"ph_4646"	"AACY020481938"	0.882667657100787
"205"	"ph_4678"	"AACY020481938"	0.81421821353132
"206"	"ph_4687"	"AACY020481938"	0.864926202300586
"207"	"ph_484"	"AACY020481938"	0.807526879982868
"208"	"ph_4993"	"AACY020481938"	0.82008324469861
"209"	"ph_4999"	"AACY020481938"	0.815887627431019
